17,0,Martin Fury
25,1,Epée courte usée
35,1,Bâton tordu
36,1,Masse détériorée
37,1,Hache usée
38,1,Chemise de recrue
39,1,Pantalon de recrue
40,1,Bottes de recrue
42,1,[VIEUX] Ceinture d'écuyer
43,1,Bottes d'écuyer
44,1,Pantalon d'écuyer
45,1,Chemise d'écuyer
47,1,Chaussures de détrousseur
48,1,Pantalon de détrousseur
49,1,Chemise de détrousseur
50,1,[VIEUX] Ceinture d'initié
51,1,Bottes de néophyte
52,1,Pantalon de néophyte
53,1,Chemise de néophyte
55,1,Bottes d'apprenti
56,1,Robe d'apprenti
57,1,Robe d'acolyte
59,1,Chaussures d'acolyte
60,1,Tunique doublée
61,1,Pantalon nain en cuir
79,1,Braies naines en tissu
80,1,Chaussures bordées de fourrure
85,1,Gilet en cuir sale
88,0,[PÉRIMÉ] Vieux pantalon
91,0,[VIEUX] Pantalon d'initié nain
99,1,[PÉRIMÉ] Bottes d'écuyer nain
100,0,[PÉRIMÉ] Pantalon d'écuyer nain
119,1,[PÉRIMÉ] Gilet de voleur
120,1,Pantalon de nervi
121,1,Bottes de nervi
127,1,Chemise du trappeur
128,0,[PÉRIMÉ] Pantalon de trappeur tauren
129,1,Bottes robustes de trappeur
137,1,[VIEUX] Ceinture de néophyte
138,1,[PÉRIMÉ] Harnais de guerre
139,1,Pantalon de bagarreur
140,1,Bottes de bagarreur
143,0,[Monster] - Shield Stormwind Guard
147,1,Pantalon robuste de trappeur
148,1,Chemise robuste de trappeur
153,1,Kilt primitif
154,1,Mantelet primitif
156,0,[PÉRIMÉ] Pantalon de recrue taurène
192,0,Bâton brisé de Martin
193,1,Gilet en étoffe rapiécée
194,1,Pantalon en étoffe rapiécé
195,1,Bottes en étoffe rapiécées
200,1,Gilet en étoffe épaisse
201,1,Pantalon en étoffe épaisse
202,1,Chaussures en étoffe épaisse
203,1,Gants en étoffe épaisse
209,1,Pantalon en cuir sale
210,1,Bottes en cuir sale
236,1,Armure en cuir traité
237,1,Pantalon en cuir traité
238,1,Bottes en cuir traité
239,1,Gants en cuir traité
285,1,Haubergeon d'écailles
286,1,Pantalon en écailles
287,1,Bottes en écailles
647,4,Destinée
710,1,Brassards de la milice du peuple
711,1,Gants en étoffe rapiécés
714,1,Gants en cuir sale
718,1,Gants en écailles
719,1,Gants d'éleveur de lapins
720,3,Gants de bagarreur
727,2,Epée courte ébréchée
753,2,Epée courte gueule-de-dragon
754,3,Epée courte de vengeance
756,2,Pioche de tunnelier
763,1,Brassards couverts de glace
766,1,Masse à ailettes
767,1,Grand bô
768,1,Hache de bûcheron
776,3,Vendetta
778,1,Pioche de kobold
781,1,Marteau de gnoll en pierre
789,2,Marteau d'armes robuste
790,2,Hache de forestier
791,3,Bâton noueux en frêne
792,1,Sandales tricotées
793,1,Gants tricotés
794,1,Pantalon tricoté
795,1,Tunique tricotée
796,1,Bottes en cuir grossier
797,1,Gants en cuir grossier
798,1,Pantalon en cuir grossier
799,1,Gilet en cuir grossier
809,4,Rasoir sanglant
810,4,Marteau du vent du nord
811,4,Hache des bois profonds
812,4,Bâton luminescent de Clairbois
816,2,Petit canif
820,2,Lame-tranchoir
821,2,Gilet rivepatte en cuir
826,2,Hache brutale de Rivepatte
827,2,Matraque pernicieuse
832,2,Ceinture de Défias en argent
837,1,Armure en toile renforcée
838,1,Pantalon en toile renforcée
839,1,Gants en toile renforcée
840,1,Chaussures en toile renforcée
843,1,Bottes en cuir tanné
844,1,Gants en cuir tanné
845,1,Pantalon en cuir tanné
846,1,Pourpoint en cuir tanné
847,1,Cotte de mailles
848,1,Pantalon en mailles
849,1,Bottes en mailles
850,1,Gants en mailles
851,1,Sabre d'abordage
852,1,Masse
853,1,Hachette
854,1,Bâton de combat
859,1,Chemise raffinée
860,1,Bottes de cavalier
863,2,Faucheuse funèbre
864,2,Epée longue chevaleresque
865,2,Masse plombée
866,2,Bâton de moine
867,4,Gants de puissance sacrée
868,4,Protectrice ardente
869,4,Epée longue éblouissante
870,4,Hache de guerre embrasée
871,4,Hache-rafale
872,3,Tranche-roc
873,4,Bâton de Jordan
876,1,Vieille targe en bois
880,2,Bâton des horreurs
885,2,Hache en métal noir
886,2,Epée courte en métal noir
888,3,Gants de bataille nagas
890,3,Bâton de la chanterelle tordue
892,2,Gants de sortilège gnolls
897,2,Brassards du loup enragé
899,2,Croc tisse-venin
911,2,Branche de bois de fer
913,2,Epée ogre énorme
914,2,Grande cotte d'anneaux ogre
920,2,Masse pernicieuse à pointes
922,1,Faux dace
923,1,Epée longue
924,1,Maillet
925,1,Fléau
926,1,Hache d'armes
927,1,Hache double
928,1,Bâton long
934,3,Faucheuse de Stalvan
935,3,Epée courte de veilleur
936,3,Masse de minuit
937,3,Bâton noir du bois de la Pénombre
940,4,Robe de perspicacité
943,4,Bâton de sylvegarde
944,4,Bâton de mage élémentaire
983,2,Echarpe rouge en lin
1008,1,Epée très usée
1009,2,Marteau compact
1010,1,Bâton court noueux
1011,1,Hache aiguisée
1020,1,Casque en cuir D (Test)
1021,1,Casque en cuir A (test)
1024,1,Heaume en plaques D2 (test)
1025,1,Heaume en plaques D1 (Test)
1027,1,Casque en mailles A (Test)
1028,0,[PÉRIMÉ] Camail abîmé
1121,3,Pattes du Lynx
1131,2,Totem d'affliction
1154,1,Ceinture de la milice du peuple
1155,3,Perche du somnambule
1158,2,Massue en métal massif
1159,1,Bâton de combat de la milice
1161,1,Epée courte de la milice
1162,1,Couvre-œil de pirate (test)
1166,1,Targe ébréchée
1167,1,Petite rondache
1168,4,Bouclier flambe-crâne
1169,4,Bouclier sombre
1171,2,Robe bien cousue
1172,2,Torche de Grayson
1173,1,Bottes usées par la pluie
1182,1,Brassards cloutés de cuivre
1183,2,Garde-poignets élastiques
1190,2,Cape de surveillant
1192,0,[PÉRIMÉ] Camail de surveillant
1193,1,Targe cerclée
1194,1,Epée bâtarde
1195,1,Pelle de mineur kobold
1196,1,Tabar
1197,1,Masse géante
1198,1,Claymore
1200,1,Grand bouclier en bois
1201,1,Ecu terne
1202,1,Grand pavois
1203,3,Egide de Hurlevent
1204,4,La Tour verte
1207,2,Etoile de Murph
1211,2,Harnais de guerre gnoll
1213,1,Brassards des gnolls
1214,2,Punisseur gnoll
1215,2,Ceinturon de maintien
1216,2,Brassards de givre
1218,2,Massue de guerre gnolle
1219,2,Machette des Carmines
1220,2,Hache lupine
1254,1,[PÉRIMÉ] Pierre de feu inférieure
1259,0,Objet de test Jyoo
1263,4,Trépaneuse
1264,2,Cogne-tête
1265,3,Dard de scorpion
1270,2,Cape finement tissée
1273,2,Cotte d'anneaux de la forêt
1275,2,Lorica d'adjoint
1276,2,Targe en acier trempé
1280,2,Chaperon enveloppant
1282,2,Camail en métal étincelant
1287,2,Croc de tarentule géante
1292,3,Fendoir du Boucher
1296,2,Masse rochenoire
1297,2,Robe de l'exhalombre
1299,2,Ceinture inférieure du pic
1300,2,Bâton inférieur du pic
1302,2,Gants de dragonnet noir
1303,2,Gants d'ouvrier du pont
1304,2,Gants d'équitation
1306,2,Garde-poignets en crinière de loup
1310,2,Chausses de forgeron
1314,2,Doigts de goule
1317,2,Bâton en racine durcie
1318,3,Déchireuse de la nuit
1351,2,Brassards d'osselets
1355,2,Cape en peau de daim
1359,1,Gants marqués d'un lion
1360,2,Gantelets de Hurlevent en mailles
1363,0,[PÉRIMÉ] Couvre-œil du capitaine Sanders
1364,0,Gilet rapiécé en cuir
1366,0,Pantalon rapiécé en cuir
1367,0,Bottes rapiécées en cuir
1368,0,Gants rapiécés en cuir
1369,0,Ceinture rapiécée en cuir
1370,0,Brassards rapiécés en cuir
1372,0,Cape déchirée
1374,0,Chaussures râpées
1376,0,Cape râpée
1377,0,Gants râpés
1378,0,Pantalon râpé
1380,0,Robe râpée
1382,1,Masse de pierre
1383,1,Tomahawk en pierre
1384,1,Lame terne
1386,1,Hache du bois-chardon
1387,2,Croc-de-goule
1388,1,Bâton gauchi
1389,1,Massette de mine kobold
1391,2,Bâton mystique rivepatte
1394,2,Massue en bois d'épave
1395,1,Pantalon d'apprenti
1396,1,Pantalon d'acolyte
1405,2,Bâton d'écume
1406,2,Lance incrustée de perles
1411,0,Bâton flétri
1412,0,Epée bâtarde grossière
1413,0,Epée médiocre
1414,0,Merlin craquelé
1415,0,Massette de charpentier
1416,0,Hachette rouillée
1417,0,Hache d'armes martelée
1418,0,Ceinture usée en cuir
1419,0,Bottes usées en cuir
1420,0,Brassards usés en cuir
1421,0,Cape usée en peau
1422,0,Gants usés en cuir
1423,0,Pantalon usé en cuir
1425,0,Gilet usé en cuir
1427,0,Chaussures en patchwork
1429,0,Cape en patchwork
1430,0,Gants en patchwork
1431,0,Pantalon en patchwork
1433,0,Armure en patchwork
1436,2,Braies des frontaliers
1438,1,Bouclier de guerrier
1440,2,Cogne-crâne gnoll
1445,1,Espauliers rochenoires
1446,2,Bottes rochenoires
1448,2,Gantelets rochenoires
