17,0,Ярость Мартина
25,1,Иссеченный короткий меч
35,1,Гнутый посох
36,1,Иссеченная палица
37,1,Старый топор
38,1,Рубашка рекрута
39,1,Штаны рекрута
40,1,Сапоги рекрута
42,1,OLDПояс оруженосца
43,1,Сапоги оруженосца
44,1,Штаны оруженосца
45,1,Рубашка оруженосца
47,1,Ботинки разбойника с большой дороги
48,1,Штаны разбойника с большой дороги
49,1,Рубашка разбойника с большой дороги
50,1,OLDПояс новичка
51,1,Сапоги неофита
52,1,Штаны неофита
53,1,Рубашка неофита
55,1,Сапоги ученика
56,1,Одеяние ученика
57,1,Одеяние послушника
59,1,Ботинки послушника
60,1,Многослойный мундир
61,1,Дворфийские кожаные штаны
79,1,Дворфийские матерчатые брюки
80,1,Отделанные мехом мягкие ботинки
85,1,Грязный кожаный жилет
88,0,Испорченные старые штаны
91,0,СТАРЫЕ штаны дворфийского новичка
99,1,Испорченные сапоги дворфийского оруженосца
100,0,Испорченные штаны дворфийского оруженосца
119,1,Испорченная безрукавка разбойника
120,1,Штаны головореза
121,1,Сапоги головореза
127,1,Рубашка зверолова
128,0,Испорченные штаны таурена-охотника
129,1,Рваные сапоги зверолова
137,1,OLDПояс неофита
138,1,Испорченная боевая куртка
139,1,Штаны буяна
140,1,Сапоги буяна
143,0,Monster - Shield Stormwind Guard
147,1,Рваные штаны зверолова
148,1,Рваная рубашка зверолова
153,1,Примитивный килт
154,1,Простая мантия
156,0,Испорченные штаны рекрута тауренов
192,0,Сломанный посох Мартина
193,1,Потрепанный матерчатый жилет
194,1,Потрепанные матерчатые штаны
195,1,Потрепанные матерчатые сапоги
200,1,Утолщенный матерчатый жилет
201,1,Утолщенные матерчатые штаны
202,1,Утолщенные матерчатые ботинки
203,1,Утолщенные матерчатые перчатки
209,1,Грязные кожаные штаны
210,1,Грязные кожаные сапоги
236,1,Доспех из обработанной кожи
237,1,Штаны из обработанной кожи
238,1,Сапоги из обработанной кожи
239,1,Перчатки из обработанной кожи
285,1,Малый чешуйчатый панцирь
286,1,Чешуйчатые штаны
287,1,Чешуйчатые сапоги
647,4,Судьба
710,1,Наручи народного ополчения
711,1,Потрепанные матерчатые перчатки
714,1,Грязные кожаные перчатки
718,1,Чешуйчатые перчатки
719,1,Перчатки охотника на кроликов
720,3,Перчатки буяна
727,2,Зубчатый короткий меч
753,2,Короткий меч Драконьей Пасти
754,3,Короткий меч отмщения
756,2,Туннельная кирка
763,1,Покрытые льдом наручи
766,1,Ребристая палица
767,1,Длинный посох Бо
768,1,Топор дровосека
776,3,Вендетта
778,1,Кобольдская кирка
781,1,Каменный молот гнолла
789,2,Боевой молот упорства
790,2,Топор лесника
791,3,Корявый ясеневый посох
792,1,Вязаные сандалии
793,1,Вязаные перчатки
794,1,Вязаные штаны
795,1,Вязаный мундир
796,1,Грубые кожаные сапоги
797,1,Грубые кожаные перчатки
798,1,Грубые кожаные штаны
799,1,Грубый кожаный жилет
809,4,Кровавая бритва
810,4,Молот Северного ветра
811,4,Топор Лесных чащоб
812,4,Светящийся посох Светлой рощи
816,2,Кинжальчик
820,2,Нарезающий клинок
821,2,Кожаный жилет Речной Лапы
826,2,Грубый топор Речной Лапы
827,2,Гибельная дубинка
832,2,Серебряный пояс братства Справедливости
837,1,Тяжелотканая броня
838,1,Тяжелотканные штаны
839,1,Тяжелотканые перчатки
840,1,Тяжелотканые ботинки
843,1,Сапоги из дубленой кожи
844,1,Перчатки из дубленой кожи
845,1,Штаны из дубленой кожи
846,1,Жакет из дубленой кожи
847,1,Байдана
848,1,Кольчужные штаны
849,1,Кольчужные сапоги
850,1,Кольчужные перчатки
851,1,Абордажная сабля
852,1,Палица
853,1,Секира
854,1,Укороченный посох
859,1,Тонкая матерчатая рубашка
860,1,Сапоги кавалериста
863,2,Мрачный жнец
864,2,Рыцарский длинный меч
865,2,Утяжеленная свинцом палица
866,2,Монашеский посох
867,4,Перчатки Священной Мощи
868,4,Ревностный хранитель
869,4,Ослепительный длинный меч
870,4,Огненная секира
871,4,Топор шквала
872,3,Камнерез
873,4,Посох Джордана
876,1,Старый деревянный кулачный щит
880,2,Посох Ужасов
885,2,Черный металлический топор
886,2,Черный металлический короткий меч
888,3,Кулачные перчатки наги
890,3,Крученый посох певчего
892,2,Перчатки гнолла-заклинателя
897,2,Наручи бешеного волка
899,2,Ядовитый паучий клык
911,2,Ветвь с железного дерева
913,2,Огромный огрский меч
914,2,Большой огрский плетеный доспех
920,2,Гибельная шипастая палица
922,1,Дакийский фалькс
923,1,Длинный меч
924,1,Кувалда
925,1,Окованная дубина
926,1,Боевой топор
927,1,Обоюдоострый топор
928,1,Длинный посох
934,3,Жнец Сталвана
935,3,Короткий меч Ночного Дозора
936,3,Полночная палица
937,3,Черный посох Сумеречного леса
940,4,Одеяния прозрения
943,4,Посох тюремщика
944,4,Посох магии стихий
983,2,Красный льняной кушак
1008,1,Видавший виды меч
1009,2,Компактный молот
1010,1,Корявый короткий посох
1011,1,Острый топор
1020,1,Кожаный полный шлем D (тест)
1021,1,Кожаный полный шлем А (тест)
1024,1,Латный полный шлем D2 (тест)
1025,1,Латный полный шлем D1 (тест)
1027,1,Кольчужный полный шлем A (тест)
1028,0,Испорченный иссеченный шлем
1121,3,Рысьи лапы
1131,2,Тотем Кары
1154,1,Пояс народного ополчения
1155,3,Жезл сноходца
1158,2,Твердая металлическая дубина
1159,1,Окованный посох ополчения
1161,1,Короткий меч ополчения
1162,1,Пиратская глазная повязка (тест)
1166,1,Зазубренный кулачный щит
1167,1,Маленький тарг
1168,4,Щит пылающего черепа
1169,4,Черночерепный щит
1171,2,Хорошо прошитое одеяние
1172,2,Факел Грейсона
1173,1,Выцветшие сапоги
1182,1,Украшенные латунью наручи
1183,2,Эластичные накулачники
1190,2,Плащ надзирателя
1192,0,Испорченный шлем надзирателя
1193,1,Пластинчатый кулачный щит
1194,1,Полуторный меч
1195,1,Лопата кобольдского горняка
1196,1,Табар
1197,1,Огромная палица
1198,1,Клеймор
1200,1,Большой деревянный щит
1201,1,Дубовый щит истопника
1202,1,Башенный щит
1203,3,Эгида Штормграда
1204,4,Зеленая башня
1207,2,Звезда Марф
1211,2,Боевая портупея гнолла
1213,1,Наручи гнолла
1214,2,Дубина гнолла
1215,2,Поддерживающий ремень
1216,2,Морозные наручи
1218,2,Тяжелая боевая дубина гнолла
1219,2,Красногорское мачете
1220,2,Волчий топор
1254,1,Малый камень огня
1259,0,ДжЙоо тестовый предмет
1263,4,Мозгоруб
1264,2,Головокрушитель
1265,3,Жало скорпиона
1270,2,Тонкотканый плащ
1273,2,Лесная кольчуга
1275,2,Плетеный нагрудник делегата
1276,2,Закаленный огнем кулачный щит
1280,2,Маскировочный плащ с капюшоном
1282,2,Капюшон искристого металла
1287,2,Клык гигантского тарантула
1292,3,Мясницкий колун
1296,2,Палица Черной горы
